2021-09-21 22:22:23,486 : 't'
2021-09-21 22:22:23,581 : 'h'
2021-09-21 22:22:23,695 : 'i'
2021-09-21 22:22:23,799 : 's'
2021-09-21 22:22:23,907 : Key.space
2021-09-21 22:22:24,067 : 't'
2021-09-21 22:22:24,198 : 'h'
2021-09-21 22:22:24,436 : 'i'
2021-09-21 22:22:24,576 : 'n'
2021-09-21 22:22:24,705 : 'g'
2021-09-21 22:22:24,792 : Key.space
2021-09-21 22:22:25,186 : 'w'
2021-09-21 22:22:25,320 : 'o'
2021-09-21 22:22:25,461 : 'r'
2021-09-21 22:22:25,685 : 'k'
2021-09-21 22:22:26,435 : 's'
2021-09-21 22:22:27,635 : Key.space
2021-09-21 22:22:28,101 : Key.shift
2021-09-21 22:22:28,353 : '!'
2021-09-21 22:22:28,525 : '!'
